"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2023","39.00","39.00","39.00","37.55","279.13K","0.00%"
"11/20/2023","39.00","40.00","39.00","39.00","5.42M","-2.50%"
"11/17/2023","40.00","40.00","39.00","38.50","442.82K","0.00%"
"11/16/2023","40.00","38.00","40.00","38.00","2.75M","5.26%"
"11/15/2023","38.00","38.00","38.00","38.00","1.55M","0.00%"
"11/14/2023","38.00","38.00","38.90","37.05","175.05K","0.00%"
"11/13/2023","38.00","38.00","38.00","38.00","11.56M","0.00%"
"11/10/2023","38.00","38.00","38.00","38.00","7.69M","0.00%"
"11/09/2023","38.00","37.75","38.00","38.00","2.45M","0.66%"
"11/08/2023","37.75","37.75","37.95","37.20","199.50K","0.00%"
"11/07/2023","37.75","37.50","37.75","37.75","3.53M","0.67%"
"11/06/2023","37.50","37.25","38.00","37.45","4.93M","0.67%"
"11/03/2023","37.25","37.15","38.35","37.25","5.76M","0.27%"
"11/02/2023","37.15","37.15","37.95","37.00","1.55M","0.00%"
"11/01/2023","37.15","37.15","37.75","36.15","846.49K","0.00%"
"10/31/2023","37.15","37.95","38.90","37.15","779.72K","-2.11%"
"10/30/2023","37.95","36.05","37.95","36.25","1.46M","5.27%"
"10/27/2023","36.05","38.00","36.05","36.05","458.13K","-5.13%"
"10/26/2023","38.00","38.00","37.90","36.65","633.22K","0.00%"
"10/25/2023","38.00","39.00","38.00","38.00","678.52K","-2.56%"
"10/24/2023","39.00","39.00","39.50","38.00","890.05K","0.00%"
"10/23/2023","39.00","38.00","39.00","39.00","395.20K","2.63%"
"10/20/2023","38.00","38.00","38.90","37.50","331.07K","0.00%"
"10/19/2023","38.00","38.90","38.00","37.55","1.22M","-2.31%"
"10/18/2023","38.90","38.90","40.00","38.00","270.86K","0.00%"
"10/17/2023","38.90","42.00","38.90","38.90","951.94K","-7.38%"
"10/16/2023","42.00","42.00","40.45","38.15","423.43K","0.00%"
"10/13/2023","42.00","42.00","40.85","39.00","35.65K","0.00%"
"10/12/2023","42.00","42.00","40.95","39.00","342.63K","0.00%"
"10/11/2023","42.00","42.00","40.80","39.00","190.91K","0.00%"
"10/10/2023","42.00","42.00","40.00","38.10","813.31K","0.00%"
"10/09/2023","42.00","38.50","42.00","39.90","1.39M","9.09%"
"10/06/2023","38.50","39.00","38.50","38.50","482.13K","-1.28%"
"10/05/2023","39.00","39.00","39.95","37.70","1.17M","0.00%"
"10/04/2023","39.00","39.00","40.00","37.80","158.33K","0.00%"
"10/03/2023","39.00","40.85","40.85","39.00","680.15K","-4.53%"
"09/29/2023","40.85","40.85","39.50","37.85","191.43K","0.00%"
"09/28/2023","40.85","40.85","40.85","37.80","451.29K","0.00%"
"09/26/2023","40.85","39.50","40.85","40.85","870.28K","3.42%"
"09/25/2023","39.50","39.50","40.00","39.00","328.52K","0.00%"
"09/22/2023","39.50","39.50","39.95","39.60","350.22K","0.00%"
"09/21/2023","39.50","40.95","39.50","39.50","1.18M","-3.54%"
"09/20/2023","40.95","40.95","40.50","38.00","481.87K","0.00%"
"09/19/2023","40.95","40.95","40.45","39.00","502.55K","0.00%"
"09/18/2023","40.95","40.95","40.95","38.85","227.72K","0.00%"
"09/15/2023","40.95","38.75","40.95","40.00","884.14K","5.68%"
"09/14/2023","38.75","38.75","40.00","38.75","20.66M","0.00%"
"09/13/2023","38.75","38.75","38.75","37.40","221.94K","0.00%"
"09/12/2023","38.75","38.75","39.00","37.50","924.89K","0.00%"
"09/11/2023","38.75","38.10","38.80","38.75","8.51M","1.71%"
"09/08/2023","38.10","38.10","39.00","38.00","118.91K","0.00%"
"09/07/2023","38.10","38.25","38.50","38.00","6.37M","-0.39%"
"09/06/2023","38.25","38.50","38.25","38.00","4.04M","-0.65%"
"09/05/2023","38.50","39.00","38.50","38.50","10.78M","-1.28%"
"09/04/2023","39.00","39.00","40.00","39.00","1.85M","0.00%"
"09/01/2023","39.00","39.00","39.00","38.00","1.02M","0.00%"
"08/31/2023","39.00","39.00","39.50","38.00","406.33K","0.00%"
"08/30/2023","39.00","39.00","39.00","38.90","1.22M","0.00%"
"08/29/2023","39.00","37.10","39.00","37.00","1.83M","5.12%"
"08/28/2023","37.10","37.90","37.10","37.10","764.01K","-2.11%"
"08/25/2023","37.90","38.00","37.90","37.90","1.02M","-0.26%"
"08/24/2023","38.00","37.30","38.00","37.60","1.81M","1.88%"
"08/23/2023","37.30","38.25","37.30","37.30","1.13M","-2.48%"
"08/22/2023","38.25","42.50","38.25","38.25","634.81K","-10.00%"
"08/21/2023","42.50","42.50","40.95","38.35","284.76K","0.00%"
"08/18/2023","42.50","42.50","39.75","38.50","111.42K","0.00%"
"08/17/2023","42.50","42.50","39.75","38.30","179.66K","0.00%"
"08/16/2023","42.50","42.50","40.05","38.60","325.53K","0.00%"
"08/15/2023","42.50","42.50","40.30","39.30","137.30K","0.00%"
"08/14/2023","42.50","42.50","40.05","39.05","64.98K","0.00%"
"08/11/2023","42.50","42.50","40.05","39.10","386.87K","0.00%"
"08/10/2023","42.50","42.50","41.60","39.50","200.14K","0.00%"
"08/09/2023","42.50","42.50","41.65","39.70","447.72K","0.00%"
"08/08/2023","42.50","42.50","42.40","39.40","427.62K","0.00%"
"08/07/2023","42.50","42.50","42.50","39.50","594.99K","0.00%"
"08/04/2023","42.50","41.80","42.50","42.50","835.95K","1.67%"
"08/03/2023","41.80","38.00","41.80","40.60","1.37M","10.00%"
"08/02/2023","38.00","37.00","38.00","38.00","1.05M","2.70%"
"08/01/2023","37.00","36.50","37.00","37.00","782.00K","1.37%"
"07/31/2023","36.50","36.50","37.10","35.70","1.12M","0.00%"
"07/28/2023","36.50","36.00","36.50","36.00","3.65M","-8.75%"
"07/27/2023","40.00","42.00","40.00","40.00","739.66K","-4.76%"
"07/26/2023","42.00","42.00","42.00","42.00","698.32K","0.00%"
"07/25/2023","42.00","43.65","42.50","41.90","1.73M","-3.78%"
"07/24/2023","43.65","43.65","43.65","41.65","267.47K","0.00%"
"07/21/2023","43.65","39.70","43.65","40.85","1.46M","9.95%"
"07/20/2023","39.70","39.70","40.15","39.20","1.31M","0.00%"
"07/19/2023","39.70","38.00","39.70","39.00","4.08M","4.47%"
"07/18/2023","38.00","37.00","38.00","38.00","2.84M","2.70%"
"07/17/2023","37.00","39.00","37.95","37.00","2.02M","-5.13%"
"07/14/2023","39.00","39.50","39.50","39.00","2.59M","-1.27%"
"07/13/2023","39.50","42.50","39.50","39.50","654.67K","-7.06%"
"07/12/2023","42.50","42.50","42.00","38.30","665.55K","0.00%"
"07/11/2023","42.50","42.60","42.50","42.50","997.33K","-0.23%"
"07/10/2023","42.60","43.70","43.00","42.60","2.58M","-2.52%"
"07/07/2023","43.70","44.00","43.70","43.70","1.76M","-0.68%"
"07/06/2023","44.00","45.00","44.00","44.00","1.50M","-2.22%"
"07/05/2023","45.00","44.75","45.00","44.70","5.36M","0.56%"
